Nombre,Clase_actividad,Estrato,Longitud,Latitud,CLASE_ACTIVIDAD_ID,Industria,emision
COMPAS,Fabricación de automóviles y camionetas,5000,-102.28744439,21.72508460,336110,Automotriz,31.051665355363223
MERCEDES BENZ MEXICO INTERNATIONAL,Fabricación de automóviles y camionetas,252,-102.27780046,21.73014436,336110,Automotriz,1.5650039339103068
NISSAN MEXICANA PLANTA AGUASCALIENTES 1 POWERTRAIN,Fabricación de automóviles y camionetas,3333.3333333333335,-102.28419005,21.80792855,336110,Automotriz,20.70111023690882
NISSAN MEXICANA PLANTA AGUASCALIENTES 1 VEHICLES,Fabricación de automóviles y camionetas,3333.3333333333335,-102.28338183,21.80321122,336110,Automotriz,20.70111023690882
NISSAN MEXICANA PLANTA AGUASCALIENTES 2,Fabricación de automóviles y camionetas,3333.3333333333335,-102.27728958,21.74198469,336110,Automotriz,20.70111023690882
CAL QUIMICA MEXICANA,Fabricación de cal,50,-102.29168460,21.91192151,327410,Cemento y cal,2.0234126984126983
CEMENTOS Y CONCRETOS NACIONALES,Fabricación de cemento y productos a base de cemento en plantas integradas,500,-102.19021861,22.18505722,327310,Cemento y cal,20.234126984126984
MXBODEGA AGUASCALIENTES,Fabricación de cemento y productos a base de cemento en plantas integradas,30,-102.28828958,21.74560051,327310,Cemento y cal,1.214047619047619
BLOCKERA CALVILLO,Fabricación de tubos y bloques de cemento y concreto,5,-102.73289045,21.84072628,327330,Cemento y cal,0.20234126984126985
BLOQUERA AGUASCALIENTTES,Fabricación de tubos y bloques de cemento y concreto,30,-102.34778484,21.79858591,327330,Cemento y cal,1.214047619047619
BLOQUERA FRANCISCOS,Fabricación de tubos y bloques de cemento y concreto,5,-102.08939013,22.24228397,327330,Cemento y cal,0.20234126984126985
FABRICA DE BLOCK SIN NOMBRE,Fabricación de tubos y bloques de cemento y concreto,5,-102.30087502,22.36714718,327330,Cemento y cal,0.20234126984126985
FRAICRET,Fabricación de tubos y bloques de cemento y concreto,50,-102.31303088,21.94883562,327330,Cemento y cal,2.0234126984126983
FRAICRET,Fabricación de tubos y bloques de cemento y concreto,30,-102.24688841,21.98255642,327330,Cemento y cal,1.214047619047619
FRAICRET,Fabricación de tubos y bloques de cemento y concreto,100,-102.31328910,21.94859708,327330,Cemento y cal,4.046825396825397
ML INGENIERIA,Fabricación de tubos y bloques de cemento y concreto,5,-102.68267062,21.87601222,327330,Cemento y cal,0.20234126984126985
POLILOSA DEL BAJIO,Fabricación de tubos y bloques de cemento y concreto,5,-102.24556605,21.86847244,327330,Cemento y cal,0.20234126984126985
PREFABRICADOS DE CONCRETO LORD,Fabricación de tubos y bloques de cemento y concreto,5,-102.41529108,22.15525730,327330,Cemento y cal,0.20234126984126985
PREFABRICADOS DE CONCRETOS SAN MARCOS,Fabricación de tubos y bloques de cemento y concreto,10,-102.26845645,21.89468534,327330,Cemento y cal,0.4046825396825397
TABICEL DEL CENTRO,Fabricación de tubos y bloques de cemento y concreto,100,-102.27939787,22.03977416,327330,Cemento y cal,4.046825396825397
ARTESANIAS,Fabricación de otros productos de cemento y concreto,5,-102.41511494,22.15502176,327399,Cemento y cal,0.20234126984126985
BODEGA AUXILIAR,Fabricación de otros productos de cemento y concreto,5,-102.28521511,21.87222641,327399,Cemento y cal,0.20234126984126985
CONCRETOS PREFABRICADOS SIN NOMBRE,Fabricación de otros productos de cemento y concreto,5,-102.32248798,21.88811876,327399,Cemento y cal,0.20234126984126985
ELABORACION DE LAVADEROS,Fabricación de otros productos de cemento y concreto,5,-102.24591740,21.87136850,327399,Cemento y cal,0.20234126984126985
FABRICACION DE LAVADEROS DE CONCRETO,Fabricación de otros productos de cemento y concreto,5,-102.24597290,21.87510803,327399,Cemento y cal,0.20234126984126985
FABRICACIÓN DE OTROS PRODUCTOS DE CEMENTO Y CONCRETO SIN NOMBRE,Fabricación de otros productos de cemento y concreto,5,-101.96497885,21.92391640,327399,Cemento y cal,0.20234126984126985
LAVADEROS DEL CENTRO,Fabricación de otros productos de cemento y concreto,5,-102.31329441,21.87023837,327399,Cemento y cal,0.20234126984126985
LAVADEROS RUIZ,Fabricación de otros productos de cemento y concreto,5,-102.71471732,21.84756501,327399,Cemento y cal,0.20234126984126985
LOZAS PREFABRICADAS DE AGUASCALIENTES,Fabricación de otros productos de cemento y concreto,10,-102.26808492,21.85972229,327399,Cemento y cal,0.4046825396825397
MOSAICOS GUADALUPE,Fabricación de otros productos de cemento y concreto,5,-102.30855382,21.88498864,327399,Cemento y cal,0.20234126984126985
MOSAICOS HIDROCALIDOS,Fabricación de otros productos de cemento y concreto,10,-102.28353317,21.87240198,327399,Cemento y cal,0.4046825396825397
PRECOLADOS SANITARIA LA PROVIDENCIA VENTA DE LAPIDAS Y LAVADEROS,Fabricación de otros productos de cemento y concreto,5,-102.29578699,22.36146504,327399,Cemento y cal,0.20234126984126985
TECHOS PREFABRICADOS EL LLANO,Fabricación de otros productos de cemento y concreto,5,-101.97252930,21.91686519,327399,Cemento y cal,0.20234126984126985
MATERIALES PEGAGS,Fabricación de otros productos a base de minerales no metálicos,5,-102.28763534,22.00294841,327999,Cemento y cal,0.20234126984126985
O TEK MEXICO,Fabricación de otros productos a base de minerales no metálicos,250,-102.27292040,22.04336907,327999,Cemento y cal,10.117063492063492
FRENADOS MEXICANOS,Fabricación de partes de sistemas de frenos para vehículos automotrices,1000,-102.28515679,21.96704425,336340,Minerales no metálicos,13.317944899478778
FUNDY AGUASCALIENTES,Fabricación de partes de sistemas de frenos para vehículos automotrices,100,-102.28319486,21.83552387,336340,Minerales no metálicos,1.331794489947878
ATSUMITEC DE MEXICO,Fabricación de partes de sistemas de transmisión para vehículos automotores,100,-102.28513995,21.96340170,336350,Minerales no metálicos,1.331794489947878
